CODMES;efecto_pandemia;efecto_crisi2008;Morosidad_prct;PIB;PIB_vartri;PIB_varanual;PIB_lag3;PIB_lag6;PIB_lag9;PIB_lag12;TasaParo_prct;Tasaparo_vartri;Tasaparo_varanual;Tasaparo_lag3;Tasaparo_lag6;Tasaparo_lag9;Tasaparo_lag12;IPC;IPC_var_mensual;IPC_vartri;IPC_varanual;IPC_lag3;IPC_lag6;IPC_lag9;IPC_lag12;Precio_avg_m2viviendas;Precio_avg_m2viviendas_vartri;Precio_avg_m2viviendas_varanual;Precio_avg_m2viviendas_lag3;Precio_avg_m2viviendas_lag6;Precio_avg_m2viviendas_lag9;Precio_avg_m2viviendas_lag12;Precio_vivienda_x_Rentabrutahogar;Precio_vivienda_x_Rentabrutahogar_vartri;Precio_vivienda_x_Rentabrutahogar_varanual;Precio_vivienda_x_Rentabrutahogar_lag3;Precio_vivienda_x_Rentabrutahogar_lag6;Precio_vivienda_x_Rentabrutahogar_lag9;Precio_vivienda_x_Rentabrutahogar_lag12;Tipo_cambio_EUR_USD;Tipo_cambio_EUR_USD_vartri;Tipo_cambio_EUR_USD_varanual;Tipo_cambio_EUR_USD_lag3;Tipo_cambio_EUR_USD_lag6;Tipo_cambio_EUR_USD_lag9;Tipo_cambio_EUR_USD_lag12;Renta_dispo_hogares_mm;Renta_dispo_hogares_mm_vartri;Renta_dispo_hogares_mm_varanual;Renta_dispo_hogares_mm_lag3;Renta_dispo_hogares_mm_lag6;Renta_dispo_hogares_mm_lag9;Renta_dispo_hogares_mm_lag12
2021_03;1;0;4,51;100,37;-0,23;-4,43;100,6;100,66;86,3;105,02;15,98;-0,93;10,9;16,13;16,26;15,33;14,41;105,2;1,84;0,86;1,15;104,3;103,7;104,9;104;1625,4;0,19;-0,91;1622,3;1619,6;1610,1;1640,4;7,25;1,54;5,84;7,14;7,06;7,01;6,85;1,1899;-2,23;7,56;1,217;1,1792;1,1255;1,11;178639;-12,76;-0,88;204758;180507;200181;180225
2021_04;1;0;4,53;101,73;1,35;17,88;100,37;100,6;100,66;86,3;15,26;-4,51;-0,46;15,98;16,13;16,26;15,33;106,4;1,14;2,19;1,92;103,9;104;103,2;104,4;1649,2;1,46;2,43;1625,4;1622,3;1619,6;1610,1;7,29;0,55;3,99;7,25;7,14;7,06;7,01;1,1979;-1,58;10,28;1,2171;1,1775;1,1463;1,09;212695;19,06;6,25;178639;204758;180507;200181
2021_05;1;0;4,55;101,73;1,35;17,88;100,37;100,6;100,66;86,3;15,26;-4,51;-0,46;15,98;16,13;16,26;15,33;107;0,56;2,19;2,49;103,3;104,1;103,2;104,4;1649,2;1,46;2,43;1625,4;1622,3;1619,6;1610,1;7,29;0,55;3,99;7,25;7,14;7,06;7,01;1,2146;0,4;11,41;1,2098;1,1838;1,1828;1,09;212695;19,06;6,25;178639;204758;180507;200181
2021_06;1;0;4,4;101,73;1,35;17,88;100,37;100,6;100,66;86,3;15,26;-4,51;-0,46;15,98;16,13;16,26;15,33;107,5;0,47;2,19;2,48;105,2;104,3;103,7;104,9;1649,2;1,46;2,43;1625,4;1622,3;1619,6;1610,1;7,29;0,55;3,99;7,25;7,14;7,06;7,01;1,2047;1,24;7,04;1,1899;1,217;1,1792;1,13;212695;19,06;6,25;178639;204758;180507;200181
2021_07;1;0;4,39;104,89;3,11;4,2;101,73;100,37;100,6;100,66;14,57;-4,52;-10,39;15,26;15,98;16,13;16,26;106,2;-1,21;0,37;2,91;106,4;103,9;104;103,2;1661,6;0,75;2,59;1649,2;1625,4;1622,3;1619,6;7,41;1,65;4,96;7,29;7,25;7,14;7,06;1,1822;-1,31;3,13;1,1979;1,2171;1,1775;1,15;183578;-13,69;1,7;212695;178639;204758;180507
2021_08;1;0;4,43;104,89;3,11;4,2;101,73;100,37;100,6;100,66;14,57;-4,52;-10,39;15,26;15,98;16,13;16,26;106,7;0,47;0,37;3,39;107;103,3;104,1;103,2;1661,6;0,75;2,59;1649,2;1625,4;1622,3;1619,6;7,41;1,65;4,96;7,29;7,25;7,14;7,06;1,1772;-3,08;-0,47;1,2146;1,2098;1,1838;1,18;183578;-13,69;1,7;212695;178639;204758;180507
2021_09;1;0;4,35;104,89;3,11;4,2;101,73;100,37;100,6;100,66;14,57;-4,52;-10,39;15,26;15,98;16,13;16,26;107,9;1,12;0,37;4,05;107,5;105,2;104,3;103,7;1661,6;0,75;2,59;1649,2;1625,4;1622,3;1619,6;7,41;1,65;4,96;7,29;7,25;7,14;7,06;1,177;-2,3;-0,19;1,2047;1,1899;1,217;1,18;183578;-13,69;1,7;212695;178639;204758;180507
2021_10;1;0;4,36;107,27;2,27;6,63;104,89;101,73;100,37;100,6;13,33;-8,51;-17,36;14,57;15,26;15,98;16,13;109,6;1,58;2,97;5,38;106,2;106,4;103,9;104;1694,1;1,96;4,43;1661,6;1649,2;1625,4;1622,3;7,53;1,62;5,46;7,41;7,29;7,25;7,14;1,1601;-1,87;-1,48;1,1822;1,1979;1,2171;1,18;214406;16,79;4,71;183578;212695;178639;204758
2021_11;1;0;4,29;107,27;2,27;6,63;104,89;101,73;100,37;100,6;13,33;-8,51;-17,36;14,57;15,26;15,98;16,13;109,9;0,27;2,97;5,57;106,7;107;103,3;104,1;1694,1;1,96;4,43;1661,6;1649,2;1625,4;1622,3;7,53;1,62;5,46;7,41;7,29;7,25;7,14;1,1414;-3,04;-3,58;1,1772;1,2146;1,2098;1,18;214406;16,79;4,71;183578;212695;178639;204758
2021_12;1;0;4,29;107,27;2,27;6,63;104,89;101,73;100,37;100,6;13,33;-8,51;-17,36;14,57;15,26;15,98;16,13;111,1;1,09;2,97;6,52;107,9;107,5;105,2;104,3;1694,1;1,96;4,43;1661,6;1649,2;1625,4;1622,3;7,53;1,62;5,46;7,41;7,29;7,25;7,14;1,1304;-3,96;-7,12;1,177;1,2047;1,1899;1,22;214406;16,79;4,71;183578;212695;178639;204758
2022_01;1;0;4,32;107,39;0,11;6,99;107,27;104,89;101,73;100,37;13,65;2,4;-14,58;13,33;14,57;15,26;15,98;110,3;-0,72;3,96;6,16;109,6;106,2;106,4;103,9;1734;2,36;6,68;1694,1;1661,6;1649,2;1625,4;7,69;2,12;6,07;7,53;7,41;7,29;7,25;1,1314;-2,47;-7,04;1,1601;1,1822;1,1979;1,22;184001;-14,18;3;214406;183578;212695;178639
2022_02;1;0;4,31;107,39;0,11;6,99;107,27;104,89;101,73;100,37;13,65;2,4;-14,58;13,33;14,57;15,26;15,98;111,2;0,82;3,96;7,65;109,9;106,7;107;103,3;1734;2,36;6,68;1694,1;1661,6;1649,2;1625,4;7,69;2,12;6,07;7,53;7,41;7,29;7,25;1,1342;-0,63;-6,25;1,1414;1,1772;1,2146;1,21;184001;-14,18;3;214406;183578;212695;178639
2022_03;1;0;4,24;107,39;0,11;6,99;107,27;104,89;101,73;100,37;13,65;2,4;-14,58;13,33;14,57;15,26;15,98;115,5;3,87;3,96;9,79;111,1;107,9;107,5;105,2;1734;2,36;6,68;1694,1;1661,6;1649,2;1625,4;7,69;2,12;6,07;7,53;7,41;7,29;7,25;1,1019;-2,52;-7,4;1,1304;1,177;1,2047;1,19;184001;-14,18;3;214406;183578;212695;178639
2022_04;1;0;4,19;109,48;1,95;7,62;107,39;107,27;104,89;101,73;12,48;-8,57;-18,22;13,65;13,33;14,57;15,26;115,2;-0,26;2,34;8,27;110,3;109,6;106,2;106,4;1740,7;0,39;5,55;1734;1694,1;1661,6;1649,2;7,72;0,39;5,9;7,69;7,53;7,41;7,29;1,0819;-4,38;-9,68;1,1314;1,1601;1,1822;1,2;223571;21,51;5,11;184001;214406;183578;212695
2022_05;1;0;4,18;109,48;1,95;7,62;107,39;107,27;104,89;101,73;12,48;-8,57;-18,22;13,65;13,33;14,57;15,26;116;0,69;2,34;8,41;111,2;109,9;106,7;107;1740,7;0,39;5,55;1734;1694,1;1661,6;1649,2;7,72;0,39;5,9;7,69;7,53;7,41;7,29;1,0579;-6,73;-12,9;1,1342;1,1414;1,1772;1,21;223571;21,51;5,11;184001;214406;183578;212695
2022_06;1;0;3,88;109,48;1,95;7,62;107,39;107,27;104,89;101,73;12,48;-8,57;-18,22;13,65;13,33;14,57;15,26;118,2;1,9;2,34;9,95;115,5;111,1;107,9;107,5;1740,7;0,39;5,55;1734;1694,1;1661,6;1649,2;7,72;0,39;5,9;7,69;7,53;7,41;7,29;1,0566;-4,11;-12,29;1,1019;1,1304;1,177;1,2;223571;21,51;5,11;184001;214406;183578;212695
2022_07;1;0;3,85;109,54;0,05;4,43;109,48;107,39;107,27;104,89;12,67;1,52;-13,04;12,48;13,65;13,33;14,57;117,5;-0,59;-0,51;10,64;115,2;110,3;109,6;106,2;1740;-0,04;4,72;1740,7;1734;1694,1;1661,6;7,85;1,68;5,94;7,72;7,69;7,53;7,41;1,0179;-5,92;-13,9;1,0819;1,1314;1,1601;1,18;186600;-16,54;1,65;223571;184001;214406;183578
2022_08;1;0;3,86;109,54;0,05;4,43;109,48;107,39;107,27;104,89;12,67;1,52;-13,04;12,48;13,65;13,33;14,57;117,8;0,26;-0,51;10,4;116;111,2;109,9;106,7;1740;-0,04;4,72;1740,7;1734;1694,1;1661,6;7,85;1,68;5,94;7,72;7,69;7,53;7,41;1,0128;-4,26;-13,97;1,0579;1,1342;1,1414;1,18;186600;-16,54;1,65;223571;184001;214406;183578
2022_09;1;0;3,79;109,54;0,05;4,43;109,48;107,39;107,27;104,89;12,67;1,52;-13,04;12,48;13,65;13,33;14,57;117,6;-0,17;-0,51;8,99;118,2;115,5;111,1;107,9;1740;-0,04;4,72;1740,7;1734;1694,1;1661,6;7,85;1,68;5,94;7,72;7,69;7,53;7,41;0,9904;-6,27;-15,85;1,0566;1,1019;1,1304;1,18;186600;-16,54;1,65;223571;184001;214406;183578
